route,parameter,fixed_value,delta_from_fit,loss
tbhp_wpo4,cat_order_1,0.4314683675765991,-0.5,1.585540771484375
tbhp_wpo4,cat_order_1,0.6814683675765991,-0.25,0.5011892318725586
tbhp_wpo4,cat_order_1,0.9314683675765991,0.0,0.11895877867937088
tbhp_wpo4,cat_order_1,1.1814683675765991,0.25,0.3762245774269104
tbhp_wpo4,cat_order_1,1.4314683675765991,0.5,0.9126276969909668
tbhp_wpo4,Ea1_over_R,8805.274658203125,-2935.091552734375,3874.7099609375
tbhp_wpo4,Ea1_over_R,10272.820434570312,-1467.5457763671875,9.590630531311035
tbhp_wpo4,Ea1_over_R,11740.3662109375,0.0,0.11895877867937088
tbhp_wpo4,Ea1_over_R,13207.911987304688,1467.5457763671875,2.678048849105835
tbhp_wpo4,Ea1_over_R,14675.457763671875,2935.091552734375,2.825349807739258
tbhp_wpo4,cat_order_2,0.012290239334106445,-0.5,3.22786283493042
tbhp_wpo4,cat_order_2,0.26229023933410645,-0.25,0.7105920910835266
tbhp_wpo4,cat_order_2,0.5122902393341064,0.0,0.11895877867937088
tbhp_wpo4,cat_order_2,0.7622902393341064,0.25,0.310295045375824
tbhp_wpo4,cat_order_2,1.0122902393341064,0.5,0.6933920979499817
tbhp_wpo4,Ea2_over_R,8251.52490234375,-2750.50830078125,127.88336944580078
tbhp_wpo4,Ea2_over_R,9626.779052734375,-1375.254150390625,73.0197525024414
tbhp_wpo4,Ea2_over_R,11002.033203125,0.0,0.11895877867937088
tbhp_wpo4,Ea2_over_R,12377.287353515625,1375.254150390625,1.6342376470565796
tbhp_wpo4,Ea2_over_R,13752.54150390625,2750.50830078125,1.7102841138839722
tbhp_wpo4,order_H2O2,2.1727479100227356,-0.7242493033409119,1.0876957178115845
tbhp_wpo4,order_H2O2,2.5348725616931915,-0.36212465167045593,0.4400748312473297
tbhp_wpo4,order_H2O2,2.8969972133636475,0.0,0.11895877867937088
tbhp_wpo4,order_H2O2,3.2591218650341034,0.36212465167045593,0.5511812567710876
tbhp_wpo4,order_H2O2,3.6212465167045593,0.7242493033409119,1.6589868068695068
tbhp_wpo4,order_TBA_main,-0.38769080489873886,-0.5,0.1412220597267151
tbhp_wpo4,order_TBA_main,-0.13769080489873886,-0.25,0.1364552527666092
tbhp_wpo4,order_TBA_main,0.11230919510126114,0.0,0.11895877867937088
tbhp_wpo4,order_TBA_main,0.36230919510126114,0.25,0.20756526291370392
tbhp_wpo4,order_TBA_main,0.6123091951012611,0.5,0.41815707087516785
tbhp_wpo4,order_TBA_side,-0.3276241421699524,-0.5,1.1377679109573364
tbhp_wpo4,order_TBA_side,-0.07762414216995239,-0.25,1.135251522064209
tbhp_wpo4,order_TBA_side,0.1723758578300476,0.0,0.11895877867937088
tbhp_wpo4,order_TBA_side,0.4223758578300476,0.25,0.1781371384859085
tbhp_wpo4,order_TBA_side,0.6723758578300476,0.5,0.32581695914268494
tbhp_wpo4,order_TBHP_side,0.7822033166885376,-0.5,0.1600758284330368
tbhp_wpo4,order_TBHP_side,1.0322033166885376,-0.25,0.12520192563533783
tbhp_wpo4,order_TBHP_side,1.2822033166885376,0.0,0.11895877867937088
tbhp_wpo4,order_TBHP_side,1.5322033166885376,0.25,0.1519053876399994
tbhp_wpo4,order_TBHP_side,1.7822033166885376,0.5,0.23344294726848602
