epoch,loss,data_loss,prior_loss,lnA1,cat_order_1,Ea1_over_R,lnA2,cat_order_2,Ea2_over_R,order_H2O2,order_TBA_main,order_TBA_side,order_TBHP_side
1,2.8625259399414062,2.8168697357177734,0.045656245201826096,20.79999542236328,1.9533851146697998,11799.2783203125,20.16499900817871,1.9816970825195312,12223.3662109375,1.564323902130127,1.4856760501861572,1.4856760501861572,1.4856760501861572
100,0.2954212427139282,0.2934972643852234,0.0019239891553297639,23.039411544799805,1.5259716510772705,10415.71875,23.213626861572266,1.5387414693832397,10029.158203125,2.338992118835449,0.617878258228302,0.3812160789966583,1.2021478414535522
200,0.17200039327144623,0.16787542402744293,0.004124962259083986,23.12533187866211,1.2255585193634033,10900.96484375,23.30208969116211,1.263626217842102,10233.7265625,2.5933406352996826,0.3076475262641907,0.22125078737735748,1.2812623977661133
300,0.18180426955223083,0.17756250500679016,0.004241766408085823,23.282007217407227,1.1114156246185303,10981.11328125,23.24268913269043,1.1323082447052002,10362.53515625,2.6809020042419434,0.26573923230171204,0.1761619597673416,1.1351001262664795
400,0.25911062955856323,0.2544572353363037,0.0046533821150660515,23.40029525756836,1.0293800830841064,11068.0615234375,23.18288803100586,1.0269283056259155,10485.4375,2.7319822311401367,0.23988401889801025,0.15955010056495667,1.0354626178741455
500,0.19343778491020203,0.18607336282730103,0.007364416029304266,23.57029151916504,0.9318873882293701,11240.8076171875,23.26583480834961,0.8960829973220825,10524.5390625,2.770429849624634,0.16614170372486115,0.17037637531757355,1.2913451194763184
600,0.12574052810668945,0.11788228899240494,0.007858243770897388,23.728618621826172,0.8807929158210754,11329.587890625,23.343412399291992,0.8135000467300415,10576.7138671875,2.7963318824768066,0.1442209631204605,0.16882768273353577,1.2824665307998657
700,0.5768204927444458,0.5700350999832153,0.006785382516682148,23.847864151000977,0.8590754270553589,11334.48046875,23.191049575805664,0.7687721252441406,10738.8759765625,2.8163020610809326,0.14363116025924683,0.16371463239192963,1.0902220010757446
800,0.5074639320373535,0.5009799003601074,0.0064840177074074745,23.835491180419922,0.8526959419250488,11429.248046875,23.278963088989258,0.7320881485939026,10712.3271484375,2.8314156532287598,0.16071940958499908,0.14353150129318237,0.947877049446106
900,0.4771403670310974,0.4705326557159424,0.006607717368751764,23.96337127685547,0.8449463844299316,11414.6484375,23.352285385131836,0.6962222456932068,10775.7333984375,2.843026638031006,0.1681927740573883,0.13297216594219208,0.9071032404899597
1000,0.13910065591335297,0.1313602328300476,0.007740420754998922,24.016712188720703,0.8478993773460388,11535.7333984375,23.399980545043945,0.6632705926895142,10755.0703125,2.8508143424987793,0.14912259578704834,0.15119701623916626,1.1675292253494263
1100,0.15236696600914001,0.1440810114145279,0.008285957388579845,24.228702545166016,0.8502035737037659,11566.2412109375,23.548351287841797,0.6360949277877808,10673.689453125,2.859785556793213,0.13311628997325897,0.155916228890419,1.2043970823287964
1200,0.18923693895339966,0.1813054382801056,0.007931496016681194,24.380937576293945,0.8531132936477661,11566.1484375,23.59774398803711,0.6149837970733643,10733.142578125,2.8677377700805664,0.12727655470371246,0.15055030584335327,1.1221628189086914
1300,0.14995811879634857,0.14187787473201752,0.008080248720943928,24.477336883544922,0.8586615324020386,11585.568359375,23.688827514648438,0.5941690802574158,10760.12109375,2.8740673065185547,0.12502433359622955,0.15178342163562775,1.1278883218765259
1400,0.20596690475940704,0.1977671980857849,0.008199713192880154,24.475147247314453,0.8693457841873169,11689.462890625,23.657825469970703,0.5780966281890869,10897.421875,2.879582166671753,0.12352956831455231,0.14986170828342438,1.1187076568603516
1500,0.19451148808002472,0.18621350824832916,0.00829798262566328,24.563474655151367,0.8775107860565186,11707.248046875,23.72325897216797,0.5619420409202576,10944.4365234375,2.8848066329956055,0.12211556732654572,0.1490478217601776,1.1198316812515259
1600,0.1175849586725235,0.10869111120700836,0.008893844671547413,24.682037353515625,0.8863391876220703,11687.490234375,23.83365821838379,0.5474990606307983,10931.85546875,2.8884596824645996,0.11899618804454803,0.16135352849960327,1.2043142318725586
1700,0.1749686896800995,0.16628848016262054,0.00868020486086607,24.755661010742188,0.8988305926322937,11690.0927734375,23.90575408935547,0.5386133790016174,10899.5595703125,2.8908984661102295,0.11720308661460876,0.1690446436405182,1.1660962104797363
1800,0.17723460495471954,0.16831201314926147,0.008922587148845196,24.872928619384766,0.9057707190513611,11648.0283203125,23.939186096191406,0.5290724635124207,10937.369140625,2.8940346240997314,0.11609362065792084,0.15874095261096954,1.1889145374298096
1900,0.11760890483856201,0.10811114311218262,0.00949775893241167,24.84387969970703,0.918312668800354,11742.4951171875,23.932714462280273,0.5205810070037842,10993.5908203125,2.8958632946014404,0.11429722607135773,0.1689111441373825,1.2557260990142822
2000,0.11645423620939255,0.10668298602104187,0.009771247394382954,24.89003562927246,0.9314683675765991,11740.3662109375,23.966445922851562,0.5122902393341064,11002.033203125,2.8969972133636475,0.11230919510126114,0.1723758578300476,1.2822033166885376
