epoch,loss,lnA1,Ea1_over_R,order_H2O2,order_TBCL
1,1.1917535066604614,-0.47999998927116394,3400.0,0.9359999895095825,0.9359999895095825
100,0.021784545853734016,-0.9355939626693726,3065.43994140625,1.1359034776687622,0.6470316648483276
200,0.016958674415946007,-2.1341214179992676,2696.630126953125,1.1744509935379028,0.6006252765655518
300,0.01288627926260233,-3.424920082092285,2315.5048828125,1.2179710865020752,0.593209981918335
400,0.010044321417808533,-4.619943618774414,1986.078369140625,1.2803754806518555,0.6067594289779663
500,0.008224832825362682,-5.644837379455566,1733.1776123046875,1.3637609481811523,0.6407315731048584
600,0.0070622931234538555,-6.492947578430176,1553.3292236328125,1.4633902311325073,0.6892335414886475
700,0.008252200670540333,-7.213046073913574,1454.754638671875,1.5685843229293823,0.7527652978897095
800,0.00688169477507472,-7.717637062072754,1350.156982421875,1.68117356300354,0.8097715973854065
900,0.006997785996645689,-8.15068531036377,1293.302978515625,1.775160551071167,0.8574097752571106
1000,0.005893345922231674,-8.514184951782227,1260.1544189453125,1.8555827140808105,0.9025158286094666
1100,0.006068891379982233,-8.807823181152344,1228.744140625,1.9249763488769531,0.9404650330543518
1200,0.0053004673682153225,-9.060924530029297,1210.6884765625,1.982574462890625,0.9733284115791321
1300,0.005261810962110758,-9.277785301208496,1200.4493408203125,2.031353235244751,0.995903491973877
1400,0.004905599635094404,-9.43844223022461,1174.3492431640625,2.0755133628845215,1.0230765342712402
1500,0.00510350102558732,-9.595661163330078,1170.58251953125,2.110006809234619,1.038210391998291
1600,0.0047575742937624454,-9.709421157836914,1151.9478759765625,2.141287326812744,1.059787392616272
1700,0.004837466403841972,-9.810036659240723,1139.665283203125,2.1674818992614746,1.0677697658538818
1800,0.004879841115325689,-9.896604537963867,1130.705078125,2.1889238357543945,1.0799978971481323
1900,0.007527409121394157,-9.958060264587402,1113.6781005859375,2.209394931793213,1.0938410758972168
2000,0.0047729783691465855,-10.042662620544434,1126.3798828125,2.2221899032592773,1.0985488891601562
