route,parameter,fixed_value,delta_from_fit,loss
tbhp_cf3,cat_order_1,0.9709042310714722,-0.5,0.3581450283527374
tbhp_cf3,cat_order_1,1.2209042310714722,-0.25,0.212223082780838
tbhp_cf3,cat_order_1,1.4709042310714722,0.0,0.12646250426769257
tbhp_cf3,cat_order_1,1.7209042310714722,0.25,0.11023639142513275
tbhp_cf3,cat_order_1,1.9709042310714722,0.5,0.1645512878894806
tbhp_cf3,Ea1_over_R,10623.0,-3541.0,536740.75
tbhp_cf3,Ea1_over_R,12393.5,-1770.5,24.1158390045166
tbhp_cf3,Ea1_over_R,14164.0,0.0,0.12646250426769257
tbhp_cf3,Ea1_over_R,15934.5,1770.5,2.745715379714966
tbhp_cf3,Ea1_over_R,17705.0,3541.0,3.658707618713379
tbhp_cf3,cat_order_2,1.3118538856506348,-0.5,0.1878095418214798
tbhp_cf3,cat_order_2,1.5618538856506348,-0.25,0.0777679905295372
tbhp_cf3,cat_order_2,1.8118538856506348,0.0,0.12646250426769257
tbhp_cf3,cat_order_2,2.0618538856506348,0.25,0.45933234691619873
tbhp_cf3,cat_order_2,2.3118538856506348,0.5,1.2647016048431396
tbhp_cf3,Ea2_over_R,10180.300048828125,-3393.433349609375,466.7367248535156
tbhp_cf3,Ea2_over_R,11877.016723632812,-1696.7166748046875,157.8711395263672
tbhp_cf3,Ea2_over_R,13573.7333984375,0.0,0.12646250426769257
tbhp_cf3,Ea2_over_R,15270.450073242188,1696.7166748046875,1.9249327182769775
tbhp_cf3,Ea2_over_R,16967.166748046875,3393.433349609375,1.966648817062378
tbhp_cf3,order_H2O2,2.115721106529236,-0.7052403688430786,1.0807337760925293
tbhp_cf3,order_H2O2,2.468341290950775,-0.3526201844215393,0.430144339799881
tbhp_cf3,order_H2O2,2.8209614753723145,0.0,0.12646250426769257
tbhp_cf3,order_H2O2,3.1735816597938538,0.3526201844215393,0.20689579844474792
tbhp_cf3,order_H2O2,3.526201844215393,0.7052403688430786,0.6409175992012024
tbhp_cf3,order_TBA_main,0.08483326435089111,-0.5,0.20735254883766174
tbhp_cf3,order_TBA_main,0.3348332643508911,-0.25,0.13969847559928894
tbhp_cf3,order_TBA_main,0.5848332643508911,0.0,0.12646250426769257
tbhp_cf3,order_TBA_main,0.8348332643508911,0.25,0.16243374347686768
tbhp_cf3,order_TBA_main,1.0848332643508911,0.5,0.24227863550186157
tbhp_cf3,order_TBA_side,-0.2889248728752136,-0.5,2.5245280265808105
tbhp_cf3,order_TBA_side,-0.03892487287521362,-0.25,2.5245280265808105
tbhp_cf3,order_TBA_side,0.21107512712478638,0.0,0.12646250426769257
tbhp_cf3,order_TBA_side,0.4610751271247864,0.25,0.23731723427772522
tbhp_cf3,order_TBA_side,0.7110751271247864,0.5,0.5298548936843872
tbhp_cf3,order_TBHP_side,-0.18250548839569092,-0.5,0.08133072406053543
tbhp_cf3,order_TBHP_side,0.06749451160430908,-0.25,0.08086398988962173
tbhp_cf3,order_TBHP_side,0.3174945116043091,0.0,0.12646250426769257
tbhp_cf3,order_TBHP_side,0.5674945116043091,0.25,0.2643400728702545
tbhp_cf3,order_TBHP_side,0.8174945116043091,0.5,0.519092857837677
