route,parameter,fixed_value,delta_from_fit,loss,refit_epochs
tbhp_bzcl,Ea1_over_R,844.784912109375,-281.594970703125,0.4832100570201874,0
tbhp_bzcl,Ea1_over_R,985.5823974609375,-140.7974853515625,0.09984336048364639,0
tbhp_bzcl,Ea1_over_R,1126.3798828125,0.0,0.004794730804860592,0
tbhp_bzcl,Ea1_over_R,1267.1773681640625,140.7974853515625,0.07093199342489243,0
tbhp_bzcl,Ea1_over_R,1407.974853515625,281.594970703125,0.20075981318950653,0
tbhp_bzcl,order_H2O2,1.666642427444458,-0.5555474758148193,0.3338882029056549,0
tbhp_bzcl,order_H2O2,1.9444161653518677,-0.27777373790740967,0.13032330572605133,0
tbhp_bzcl,order_H2O2,2.2221899032592773,0.0,0.004794730804860592,0
tbhp_bzcl,order_H2O2,2.499963641166687,0.27777373790740967,0.22955550253391266,0
tbhp_bzcl,order_H2O2,2.7777373790740967,0.5555474758148193,1.1466728448867798,0
tbhp_bzcl,order_TBCL,0.5985488891601562,-0.5,0.09404873847961426,0
tbhp_bzcl,order_TBCL,0.8485488891601562,-0.25,0.031412284821271896,0
tbhp_bzcl,order_TBCL,1.0985488891601562,0.0,0.004794730804860592,0
tbhp_bzcl,order_TBCL,1.3485488891601562,0.25,0.031534258276224136,0
tbhp_bzcl,order_TBCL,1.5985488891601562,0.5,0.12723393738269806,0
