epoch,loss,lnA1,cat_order_1,Ea1_over_R,lnA2,cat_order_2,Ea2_over_R,order_H2O2,order_TBA_main,order_TBA_side,order_TBHP_side
1,5.47430944442749,20.799999237060547,1.0640000104904175,9440.0,19.200000762939453,0.9359999895095825,10560.0,1.0640000104904175,0.9359999895095825,0.9359999895095825,0.9359999895095825
100,0.12156885862350464,20.309144973754883,1.3506773710250854,10416.3935546875,20.229734420776367,1.395114541053772,10420.6875,1.3738720417022705,0.711435854434967,0.20816367864608765,0.291962206363678
200,0.19628237187862396,20.868122100830078,1.4172114133834839,10820.8916015625,21.172527313232422,1.6778042316436768,10840.5478515625,1.6679112911224365,0.6989967823028564,0.174852192401886,0.14094847440719604
300,0.09878204017877579,21.430042266845703,1.4503233432769775,11128.5634765625,21.873497009277344,1.7664508819580078,11092.0068359375,1.9146630764007568,0.6412686109542847,0.19016939401626587,0.1798948049545288
400,0.26362043619155884,21.873554229736328,1.491438865661621,11453.421875,22.35213279724121,1.8056440353393555,11416.0380859375,2.1033387184143066,0.7113360166549683,0.22364503145217896,0.2520539164543152
500,0.14435206353664398,22.253681182861328,1.4890481233596802,11747.228515625,22.87913703918457,1.8249317407608032,11518.216796875,2.2762012481689453,0.5182334184646606,0.11857384443283081,0.44492316246032715
600,0.08693312108516693,22.819578170776367,1.492018222808838,11925.1982421875,23.56015968322754,1.8487462997436523,11659.7529296875,2.4263830184936523,0.6015192270278931,0.2042718529701233,0.2634332776069641
700,0.10197588801383972,23.33529281616211,1.4794981479644775,12120.7138671875,24.043224334716797,1.8436286449432373,11927.501953125,2.530355453491211,0.5597339868545532,0.19794034957885742,0.3280876874923706
800,0.08488902449607849,23.820003509521484,1.4763354063034058,12346.62109375,24.628719329833984,1.8473186492919922,12080.0673828125,2.630779266357422,0.571469783782959,0.20676189661026,0.2991858124732971
900,0.07867622375488281,24.34762191772461,1.47296142578125,12512.8310546875,25.186904907226562,1.8444395065307617,12287.189453125,2.682520866394043,0.49881136417388916,0.1954406499862671,0.318805992603302
1000,0.074428491294384,24.767488479614258,1.4727568626403809,12743.3349609375,25.690208435058594,1.840706467628479,12468.791015625,2.733452796936035,0.5407150983810425,0.2030084729194641,0.3235676884651184
1100,0.07347539812326431,25.27404022216797,1.475988507270813,12903.001953125,26.22048568725586,1.8391942977905273,12635.2109375,2.7555394172668457,0.5116915702819824,0.1928432583808899,0.320259690284729
1200,0.07091222703456879,25.717124938964844,1.472409963607788,13096.794921875,26.708906173706055,1.8343408107757568,12807.337890625,2.7724575996398926,0.5382351279258728,0.2091100811958313,0.326482892036438
1300,0.07000544667243958,26.175527572631836,1.469936490058899,13269.4404296875,27.15872573852539,1.8290692567825317,12961.8779296875,2.7902660369873047,0.5540691614151001,0.21352970600128174,0.3286362290382385
1400,0.15061481297016144,26.571495056152344,1.476857304573059,13476.041015625,27.55486488342285,1.8254423141479492,13133.24609375,2.8044025897979736,0.5566264390945435,0.20457738637924194,0.35250556468963623
1500,0.20674024522304535,26.968883514404297,1.5036110877990723,13605.02734375,27.645923614501953,1.8122954368591309,13279.6953125,2.8841071128845215,0.5373605489730835,0.25029176473617554,0.6213997006416321
1600,0.06772446632385254,27.299224853515625,1.4968478679656982,13742.107421875,28.0142822265625,1.820469617843628,13257.4677734375,2.9351084232330322,0.5437330603599548,0.21427202224731445,0.3261182904243469
1700,0.06791209429502487,27.641759872436523,1.4805779457092285,13832.83203125,28.312084197998047,1.816344976425171,13362.23828125,2.8927783966064453,0.5754369497299194,0.2223116159439087,0.31714075803756714
1800,0.06895024329423904,28.020614624023438,1.4782309532165527,13919.4541015625,28.638134002685547,1.81619131565094,13436.0,2.856126070022583,0.5282361507415771,0.212274968624115,0.3469086289405823
1900,0.06584736704826355,28.335018157958984,1.4761443138122559,14038.5126953125,28.83993148803711,1.8104779720306396,13535.53515625,2.839427947998047,0.5544454455375671,0.21522068977355957,0.33190685510635376
2000,0.10393968969583511,28.631790161132812,1.4709042310714722,14164.0,29.11166763305664,1.8118538856506348,13573.7333984375,2.8209614753723145,0.5848332643508911,0.21107512712478638,0.3174945116043091
