epoch,loss,data_loss,prior_loss,lnA1,cat_order_1,Ea1_over_R,order_benzaldehyde,order_TBHP
1,8.998529434204102,8.985821723937988,0.012707597576081753,8.640000343322754,1.953383207321167,6307.12890625,1.564324140548706,1.564324140548706
100,0.1735101044178009,0.17050421237945557,0.0030058929696679115,9.142976760864258,2.2696077823638916,5062.73828125,2.40250301361084,1.9780057668685913
200,0.1470019668340683,0.1415199339389801,0.005482037551701069,8.486319541931152,2.543485164642334,4758.7216796875,2.570842742919922,1.9976905584335327
300,0.13556984066963196,0.12858428061008453,0.006985563784837723,7.74416446685791,2.6770200729370117,4471.28173828125,2.647862434387207,2.008855104446411
400,0.1289675086736679,0.1209576427936554,0.008009870536625385,7.029959678649902,2.752451181411743,4210.58056640625,2.6897096633911133,2.01360821723938
500,0.12461551278829575,0.11582329869270325,0.008792213164269924,6.391753196716309,2.8004086017608643,3983.33251953125,2.714862108230591,2.0154948234558105
600,0.12157800793647766,0.11215101927518845,0.009426991455256939,5.844115734100342,2.8335041999816895,3790.67919921875,2.7309257984161377,2.0163216590881348
700,0.11939013004302979,0.10943499952554703,0.009955126792192459,5.384053707122803,2.85772442817688,3629.854248046875,2.741615056991577,2.0167973041534424
800,0.11777642369270325,0.1073770746588707,0.010399349965155125,5.000827789306641,2.8762388229370117,3496.348388671875,2.7489681243896484,2.0171804428100586
900,0.11655998229980469,0.10578411817550659,0.01077586691826582,4.681708335876465,2.890872001647949,3385.37890625,2.754190444946289,2.017550468444824
1000,0.11562372744083405,0.10452619194984436,0.011097538284957409,4.414731979370117,2.9027435779571533,3292.6318359375,2.758024215698242,2.017920732498169
1100,0.11488926410675049,0.10351454466581345,0.011374722234904766,4.189759731292725,2.91257905960083,3214.51123046875,2.7609360218048096,2.018285036087036
1200,0.1143026277422905,0.10268691927194595,0.011615707539021969,3.99855899810791,2.9208672046661377,3148.127197265625,2.7632219791412354,2.0186352729797363
1300,0.11382634937763214,0.10199939459562302,0.01182695385068655,3.834608554840088,2.9279510974884033,3091.205078125,2.7650704383850098,2.018965482711792
1400,0.11343389749526978,0.1014203131198883,0.012013581581413746,3.6927947998046875,2.9340779781341553,3041.96533203125,2.766604423522949,2.0192718505859375
1500,0.11310621351003647,0.10092666745185852,0.012179548852145672,3.569119453430176,2.939429998397827,2999.015625,2.7679028511047363,2.0195558071136475
1600,0.11282929033041,0.10050123929977417,0.012328052893280983,3.4604129791259766,2.944146156311035,2961.26123046875,2.7690205574035645,2.0198171138763428
1700,0.11259275674819946,0.10013110190629959,0.012461656704545021,3.364192008972168,2.9483327865600586,2927.836181640625,2.7699949741363525,2.0200579166412354
1800,0.11238901317119598,0.09980656951665878,0.012582442723214626,3.278451919555664,2.952073812484741,2898.050048828125,2.77085280418396,2.0202791690826416
1900,0.11221165210008621,0.0995195284485817,0.012692125514149666,3.201606273651123,2.9554357528686523,2871.34814453125,2.7716147899627686,2.0204834938049316
2000,0.11205640435218811,0.09926426410675049,0.012792143039405346,3.132338047027588,2.95847225189209,2847.281005859375,2.772296190261841,2.0206711292266846
