route,route_label,short_label,route_title,n_experiments,n_time_points,temp_min,temp_max,limiting_initial_min,limiting_initial_max,feed_ratio_min,feed_ratio_max,catalyst_min,catalyst_max
tbhp_bzcl,Route 1,R1,TBHP-BZCL,13,104,30.0,60.0,2.184389194461641,5.990021862234167,0.9999999999999996,6.000000000000003,,
tbhp_wpo4,Route 2,R2,TBHP-TBA-WPO4,15,120,60.0,80.0,3.295674535294413,4.746060118779737,1.1999999999999997,2.1999999999999997,0.0474606011877973,0.1652571600531284
tbhp_cf3,Route 3,R3,TBHP-CF3,17,136,60.0,85.0,3.661906199779356,4.74586524619342,1.2000000000000002,1.9999999999999998,1.4237595738580255,3.21287486529464
tbpb_benzaldehyde,Route 4,R4,TBPB-benzaldehyde,15,120,45.0,65.0,1.6584959346318404,2.7091657141978938,0.4347826086956522,0.9089946318024086,0.1354582857098947,0.4309604360857736
