route,route_label,short_label,route_title,Ea1_kJ_mol,Ea1_over_R,lnA1,product_R2,order_H2O2,order_TBCL,Ea1_kJ_mol_ci95_low,Ea1_kJ_mol_ci95_high,Ea1_over_R_ci95_low,Ea1_over_R_ci95_high,lnA1_ci95_low,lnA1_ci95_high,order_H2O2_ci95_low,order_H2O2_ci95_high,order_TBCL_ci95_low,order_TBCL_ci95_high,cat_order_1,lnA2,cat_order_2,Ea2_over_R,order_TBA_main,order_TBA_side,order_TBHP_side,Ea2_kJ_mol,Ea2_kJ_mol_ci95_low,Ea2_kJ_mol_ci95_high,Ea2_over_R_ci95_low,Ea2_over_R_ci95_high,lnA2_ci95_low,lnA2_ci95_high,cat_order_1_ci95_low,cat_order_1_ci95_high,cat_order_2_ci95_low,cat_order_2_ci95_high,order_TBA_main_ci95_low,order_TBA_main_ci95_high,order_TBA_side_ci95_low,order_TBA_side_ci95_high,order_TBHP_side_ci95_low,order_TBHP_side_ci95_high,order_benzaldehyde,order_TBHP,order_benzaldehyde_ci95_low,order_benzaldehyde_ci95_high,order_TBHP_ci95_low,order_TBHP_ci95_high
tbhp_bzcl,Route 1,R1,TBHP-BZCL,9.364722345703125,1126.3798828125,-10.042662620544434,0.9875421925612539,2.2221899032592773,1.0985488891601562,9.364644706420899,9.36469189892578,1126.3705444335938,1126.376220703125,-10.037472820281984,-10.034808254241945,2.2227649450302125,2.232543992996216,1.1027594923973083,1.1186095714569093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tbhp_wpo4,Route 2,R2,TBHP-TBA-WPO4,97.60940467773437,11740.3662109375,24.89003562927246,0.9679723349221196,2.8969972133636475,,97.6092593451172,97.60942497558594,11740.348730468751,11740.36865234375,24.88736343383789,24.90754222869873,2.841795134544373,2.9060158491134644,,,0.9314683675765991,23.966445922851562,0.5122902393341064,11002.033203125,0.11230919510126114,0.1723758578300476,1.2822033166885376,91.47090405078124,91.47069863652344,91.47084315722657,11002.008496093751,11002.02587890625,23.9774299621582,23.99083480834961,0.9136900246143341,0.932576698064804,0.48936221599578855,0.5019690871238709,0.07945248633623123,0.19431389421224596,0.16874393671751023,0.1884841278195381,1.1027683019638062,1.2661808252334597,,,,,,
tbhp_cf3,Route 3,R3,TBHP-CF3,117.759496,14164.0,28.631790161132812,0.9797742664545921,2.8209614753723145,,117.75887407382812,117.75948382128907,14163.9251953125,14163.99853515625,28.63235855102539,28.706032943725585,2.8224560260772704,2.894099020957947,,,1.4709042310714722,29.11166763305664,1.8118538856506348,13573.7333984375,0.5848332643508911,0.21107512712478638,0.3174945116043091,112.85201947460938,112.8521120328125,112.85249850390625,13573.74453125,13573.791015625,29.050319099426268,29.10011749267578,1.469513976573944,1.5417532444000244,1.747025740146637,1.7986563086509706,0.509529209136963,0.6628558754920959,0.14859117120504378,0.2673104554414749,0.3468833267688751,0.47709650099277495,,,,,,
tbpb_benzaldehyde,Route 4,R4,TBPB-benzaldehyde,23.672294282714844,2847.281005859375,3.132338047027588,0.9521120046107276,,,23.671900301416017,23.67267750615234,2847.2336181640626,2847.327099609375,3.08759982585907,3.1838750123977664,,,,,2.95847225189209,,,,,,,,,,,,,,2.8390588760375977,2.994832158088684,,,,,,,,,2.772296190261841,2.0206711292266846,2.4915097236633303,2.6270742654800414,1.9890400528907777,2.1366671085357667
